title,dev,pub,plat,date_release,date_certainty,date_fiction,film_relationship,canon_ish,jedi,film_chars,multiplayer,screen,screen_source,screen_source_path,screen_contributed,article_anchor
Droids Over Iego,StarWars.com,StarWars.com,Web,11-09-2009,TRUE,Clone Wars,intersects,TRUE?,FALSE,FALSE?,single,,,,,
Clone Weapons Training,StarWars.com,StarWars.com,Web,10-10-2009,FALSE,Clone Wars,independent,FALSE?,FALSE?,FALSE?,single,,,,,
Force Jump Training,StarWars.com,StarWars.com,Web,10-10-2009,FALSE,Clone Wars,independent,TRUE?,TRUE,TRUE,single,force-jump-training.jpg,,,Cheeseness,
Star Wars: Battlefront: Elite Squadron,Rebellion,LucasArts,"PSP,DS",03-11-2009,TRUE,"Prequels,Trilogy",intersects,FALSE?,TRUE,TRUE,"single, multi",star-wars-battlefront-elite-squadron.jpg,MobyGames,http://www.mobygames.com/game/star-wars-battlefront-elite-squadron_/screenshots,Cheeseness,
Lego Star Wars: The Quest for R2-D2,Three Melons,LEGO,Web,12-11-2009,TRUE,Clone Wars,independent,FALSE?,TRUE,TRUE,single,lego-star-wars-the-quest-for-r2-d2.jpg,Wookieepedia,http://starwars.wikia.com/wiki/File:Legoquestr2vg_ani_lvl15.jpg,Cheeseness,
Star Wars: Trench Run,Infrared5,THQ,"Web,iOS",17-11-2009,TRUE,ANH,adaptation,TRUE?,FALSE,TRUE,single,star-wars-trench-run.jpg,Wookieepedia,http://starwars.wikia.com/wiki/File:Trench_Run_screenshot.jpg,Cheeseness,
Jetpack Trooper,StarWars.com,StarWars.com,Web,01-01-2010,FALSE,Clone Wars,independent,TRUE?,FALSE,FALSE?,single,jetpack-trooper.jpg,,,Cheeseness,
Republic Ace,CartoonNetwork,CartoonNetwork,Web,01-01-2010,FALSE,Clone Wars,intersects,TRUE?,TRUE,TRUE,single,republic-ace.jpg,,,Cheeseness,
Star Wars: The Force Unleashed II: Cloning Tank,LucasArts,LucasArts,Web,01-05-2010,FALSE,Pre-ANH,independent,TRUE?,TRUE?,FALSE?,single,,,,,
Yoda Battle Slash,CartoonNetwork,CartoonNetwork,Web,01-06-2010,FALSE,Clone Wars,adaptation,TRUE?,TRUE,TRUE,single,yoda-battle-slash.jpg,,,Cheeseness,
Star Wars: Clone Wars Adventures,SOE,LucasArts,"Windows,Mac",15-09-2010,TRUE,Clone Wars,independent,FALSE?,TRUE?,TRUE?,mmo,,,,,
Star Wars Arcade: Falcon Gunner,Vertigore Games,THQ,iOS,17-10-2010,TRUE,Trilogy,intersects,TRUE?,FALSE?,TRUE?,single,star-wars-arcade-falcon-gunner.jpg,StarWars.com (Archive.org),http://web.archive.org/web/20110913112946/http://www.starwars.com/games/videogames/swarcade_falcongunner/index.html,Cheeseness,
Star Wars: The Force Unleashed II,LucasArts,LucasArts,"Windows,PS3,Xbox 360,Wii,DS,iOS",26-10-2010,TRUE,Pre-ANH,intersects,TRUE,TRUE,TRUE,single,star-wars-the-force-unleashed-ii.jpg,MobyGames,http://www.mobygames.com/game/star-wars-the-force-unleashed-ii/screenshots,Cheeseness,
Escape from Kamino,Barraxworld,LucasArts,Web,27-10-2010,TRUE,Pre-ANH,independent,TRUE?,TRUE,FALSE?,single,,,,,
Air Strike,StarWars.com,StarWars.com,Web,24-11-2010,TRUE,Clone Wars,adaptation,TRUE?,FALSE,FALSE,single,air-strike.jpg,,,Cheeseness,
